,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE X1,44,3,1,1,10,ENGINEERING,Returning Students [P]
1,ACC1002X,LECTURE X1,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
2,ACC1002X,LECTURE X1,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
3,ACC1002X,LECTURE X2,19,8,1,1,111,ENGINEERING,Returning Students [P]
4,ACC1002X,LECTURE X2,19,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
5,ACC1002X,LECTURE X3,75,6,1,1,200,ENGINEERING,Returning Students [P]
6,ACC4611,SECTIONAL TEACHING K1,14,4,1,1,150,SCHOOL OF BUSINESS,Returning Students [P]
7,ACC4612D,SECTIONAL TEACHING D1,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
8,AR2101,DESIGN LECTURE 1,21,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
9,AR2223,LECTURE 1,21,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
10,AR2521,LECTURE 1,25,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
11,AR3101,DESIGN LECTURE 1,25,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR3421,LECTURE 1,30,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR4101,DESIGN LECTURE 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR4103,DESIGN LECTURE 1,8,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
15,AR5011,LECTURE 1,19,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
16,AR5321,LECTURE 1,21,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
17,AS2237,LECTURE 1,19,2,3,1,13,ARTS & SOCIAL SCIENCES,Returning Students [P]
18,AS3239,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
19,AS4219,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
20,AS4232,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
21,BN4202,LECTURE 1,1,2,1000,4500,4500,ENGINEERING,Returning Students [P]
22,BN4301,LECTURE 1,11,1,500,1,500,ENGINEERING,Returning Students [P]
23,BN4406,LECTURE 1,48,5,1,1,10,ENGINEERING,Returning Students [P]
24,BSP1005,LECTURE D1,7,0,0,0,0,ENGINEERING,Returning Students [P]
25,BSP1005,LECTURE D1,7,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
26,BSP1005,LECTURE D1,3,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
27,BSP1005,LECTURE D1,3,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
28,BSP1005,LECTURE D2,15,0,0,0,0,ENGINEERING,Returning Students [P]
29,BSP1005,LECTURE D2,8,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
30,BSP1005,LECTURE D2,5,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
31,BSP1005,LECTURE D3,1,0,0,0,0,ENGINEERING,Returning Students [P]
32,BSP1005,LECTURE D3,5,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
33,BSP2001,LECTURE X2,5,4,49,1,500,SCHOOL OF BUSINESS,Returning Students [P]
34,BSP2005,LECTURE E1,12,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
35,BSP2005,LECTURE E2,12,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
36,BSP3513,SECTIONAL TEACHING V1,19,1,209,1,209,SCHOOL OF BUSINESS,Returning Students [P]
37,BSP4513,SECTIONAL TEACHING B1,5,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
38,BSP4513,SECTIONAL TEACHING B1,2,2,1,1,641,SCHOOL OF BUSINESS,Returning Students [P]
39,BSP4515,SECTIONAL TEACHING B1,35,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
40,BT2101,LECTURE 1,6,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
41,BT3101,LECTURE 1,52,7,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
42,BT3102,LECTURE 1,28,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
43,CE1109,LECTURE 1,8,0,0,0,0,ENGINEERING,Returning Students [P]
