,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,AR2101,DESIGN TUTORIAL 1,127,84,1,1,2002,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
1,AR2221,LECTURE 1,127,96,1,1,999,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
2,AR2722,LECTURE 1,105,84,1,1,700,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
3,AR3101,DESIGN TUTORIAL 1,89,54,1,1,1001,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
4,AR3222,LECTURE 1,90,54,1,1,2000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
5,AR4101,DESIGN TUTORIAL 1,70,31,1,1,2000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
6,AR4101,DESIGN TUTORIAL 2,70,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
7,AR4103,DESIGN TUTORIAL 1,20,17,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
8,AR4104,DESIGN TUTORIAL 1,20,8,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
9,AR5011,LECTURE 1,28,26,1,1,1001,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
10,AR5011,LECTURE 2,28,3,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
11,AR5011,LECTURE 3,28,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR5321,LECTURE 1,85,57,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR5610,LECTURE 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AS2213,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
15,AS2237,LECTURE 1,10,3,1,1,723,ARTS & SOCIAL SCIENCES,Returning Students [P]
16,AS3231,SEMINAR-STYLE MODULE CLASS 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
17,BHT4001A,LECTURE ZA,500,15,1,1,209,SCHOOL OF BUSINESS,Returning Students [P]
