,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,AR1121,LECTURE 1,96,93,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1,AR1221,LECTURE 1,13,17,300,0,1426,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
2,AR1221,LECTURE 1,115,144,1,1,746,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
3,AR2101,DESIGN TUTORIAL 1,39,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
4,AR2221,LECTURE 1,23,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
5,AR2722,LECTURE 1,36,29,1,1,724,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
6,AR3101,DESIGN TUTORIAL 1,26,5,1,1,50,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
7,AR3222,LECTURE 1,47,24,1,1,600,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
8,AR4101,DESIGN TUTORIAL 1,34,7,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
9,AR4101,DESIGN TUTORIAL 2,63,1,1,0,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
10,AR4103,DESIGN TUTORIAL 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
11,AR4104,DESIGN TUTORIAL 1,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR5011,LECTURE 2,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR5011,LECTURE 3,25,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR5321,LECTURE 1,13,8,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
15,AR5610,LECTURE 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
16,AS2213,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
17,AS2213,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
18,AS2237,LECTURE 1,12,6,2,1,300,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
19,AS2237,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
