,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE V1,5,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1,ACC1002,LECTURE V2,4,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
2,ACC1002X,LECTURE X1,7,0,0,0,0,SCIENCE,Returning Students [P]
3,ACC1002X,LECTURE X1,37,3,10,1,101,ENGINEERING,Returning Students [P]
4,ACC1002X,LECTURE X1,5,1,39,1,39,SCHOOL OF COMPUTING,Returning Students [P]
5,ACC1002X,LECTURE X1,6,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
6,ACC1002X,LECTURE X2,12,0,0,0,0,SCIENCE,Returning Students [P]
7,ACC1002X,LECTURE X2,101,1,1,1,1,ENGINEERING,Returning Students [P]
8,ACC1002X,LECTURE X2,8,6,1,1,4321,SCHOOL OF COMPUTING,Returning Students [P]
9,ACC1002X,LECTURE X3,6,0,0,0,0,SCIENCE,Returning Students [P]
10,ACC1002X,LECTURE X3,87,1,1,1,1,ENGINEERING,Returning Students [P]
11,ACC1002X,LECTURE X3,15,5,1,1,1568,SCHOOL OF COMPUTING,Returning Students [P]
12,ACC2002,SECTIONAL TEACHING B4,5,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
13,ACC2002,SECTIONAL TEACHING B5,5,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
14,ACC2002,SECTIONAL TEACHING B6,3,0,0,0,0,SCIENCE,Returning Students [P]
15,ACC2002,SECTIONAL TEACHING B6,3,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
16,ACC2002,SECTIONAL TEACHING B7,2,0,0,0,0,SCIENCE,Returning Students [P]
17,ACC2002,SECTIONAL TEACHING B7,3,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
18,ACC2002,SECTIONAL TEACHING B8,4,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
19,ACC2002,SECTIONAL TEACHING B9,4,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
20,ACC4611,SECTIONAL TEACHING K1,19,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
21,ACC4612E,SECTIONAL TEACHING E1,3,2,10,1,300,SCHOOL OF BUSINESS,Returning Students [P]
22,AR2101,DESIGN LECTURE 1,21,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
