,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,AR1121,LECTURE 1,3,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1,AR2101,DESIGN TUTORIAL 1,38,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
2,AR2221,LECTURE 1,20,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
3,AR2722,LECTURE 1,7,9,200,300,803,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
4,AR3101,DESIGN TUTORIAL 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
5,AR3222,LECTURE 1,24,13,1,1,900,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
6,AR4101,DESIGN TUTORIAL 1,27,2,100,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
7,AR4101,DESIGN TUTORIAL 2,62,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
8,AR4103,DESIGN TUTORIAL 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
9,AR4104,DESIGN TUTORIAL 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
10,AR5011,LECTURE 2,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
11,AR5011,LECTURE 3,25,2,100,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR5321,LECTURE 1,5,2,100,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR5610,LECTURE 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AS2213,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
15,AS2213,LECTURE 1,1,3,59,250,250,ARTS & SOCIAL SCIENCES,New Students [P]
16,AS2237,LECTURE 1,7,11,100,250,2443,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
17,AS2237,LECTURE 1,2,3,2,50,59,ARTS & SOCIAL SCIENCES,New Students [P]
18,BHT4001A,LECTURE ZA,483,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
19,BHT4001B,LECTURE ZB,493,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
20,BHT4001C,LECTURE ZC,498,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
21,BN4403,LECTURE 1,18,0,0,0,0,ENGINEERING,Returning Students [P]
22,BN4406,LECTURE 1,32,1,500,1,500,ENGINEERING,Returning Students [P]
23,BSP1005B,LECTURE E2,3,8,18,711,1239,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
24,BSP2005,LECTURE E,4,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
25,BSP3001A,SECTIONAL TEACHING A3,7,1,20,1,20,SCHOOL OF BUSINESS,Returning Students [P]
26,BU3180,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
27,BU3181,LECTURE 1,23,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
28,BU3380,LECTURE 1,31,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
29,BU3491,LECTURE 1,37,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
30,BU4380,LECTURE 1,32,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
31,BU4391,LECTURE 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
32,BU4480,LECTURE 1,39,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
33,BU4490,LECTURE 1,40,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
34,CE2134,LECTURE 1,40,1,1,1,1,ENGINEERING,Returning Students [P] and NUS Students [G]
35,CE2134,LECTURE 1,34,2,200,1,200,ENGINEERING,New Students [P]
36,CE2155,LECTURE 1,70,1,1,1,1,ENGINEERING,Returning Students [P] and NUS Students [G]
37,CE2155,LECTURE 1,32,0,0,0,0,ENGINEERING,New Students [P]
38,CE2184,LECTURE 1,77,4,1,1,27,ENGINEERING,Returning Students [P] and NUS Students [G]
39,CE2184,LECTURE 1,32,0,0,0,0,ENGINEERING,New Students [P]
40,CE2407,LECTURE 1,55,2,1,1,1,ENGINEERING,Returning Students [P] and NUS Students [G]
41,CE2407,LECTURE 1,34,0,0,0,0,ENGINEERING,New Students [P]
42,CE2408,LECTURE 1,98,7,1,1,100,ENGINEERING,Returning Students [P] and NUS Students [G]
43,CE2408,LECTURE 1,32,0,0,0,0,ENGINEERING,New Students [P]
44,CE3101,LECTURE 1,10,1,1,1,1,ENGINEERING,Returning Students [P] and NUS Students [G]
45,CE3115,LECTURE 1,105,1,1,1,1,ENGINEERING,Returning Students [P] and NUS Students [G]
46,CE3121,LECTURE 1,106,1,1,1,1,ENGINEERING,Returning Students [P] and NUS Students [G]
47,CE3165,LECTURE 1,98,0,0,0,0,ENGINEERING,Returning Students [P] and NUS Students [G]
48,CE4103,LECTURE 1,147,1,1,1,1,ENGINEERING,Returning Students [P]
49,CE4104,LECTURE 1,91,1,1,1,1,ENGINEERING,Returning Students [P]
50,CE4257,LECTURE 1,45,2,1,1,2,ENGINEERING,Returning Students [P] and NUS Students [G]
51,CE5101,LECTURE 1,16,0,0,0,0,ENGINEERING,Returning Students [P]
52,CE5104,LECTURE 1,10,1,1800,1,1800,ENGINEERING,Returning Students [P]
53,CE5105,LECTURE 1,15,0,0,0,0,ENGINEERING,Returning Students [P]
54,CE5203,LECTURE 1,11,0,0,0,0,ENGINEERING,Returning Students [P]
55,CE5307,LECTURE 1,11,0,0,0,0,ENGINEERING,Returning Students [P]
56,CE5509,LECTURE 1,15,0,0,0,0,ENGINEERING,Returning Students [P]
57,CE5514,LECTURE 1,15,1,1001,1,1001,ENGINEERING,Returning Students [P]
58,CE5604,LECTURE 1,3,0,0,0,0,ENGINEERING,Returning Students [P]
59,CE5703,LECTURE 1,3,0,0,0,0,ENGINEERING,Returning Students [P]
60,CE5712,LECTURE 1,24,0,0,0,0,ENGINEERING,Returning Students [P]
61,CH1101E,LECTURE 1,4,10,100,800,1236,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
62,CH1101E,LECTURE 1,68,12,1,1,359,ARTS & SOCIAL SCIENCES,New Students [P]
63,CH2121,LECTURE 1,20,16,1,1,766,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
64,CH2121,LECTURE 1,23,1,200,1,200,ARTS & SOCIAL SCIENCES,New Students [P]
65,CH2225,LECTURE 1,29,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
66,CH2225,LECTURE 1,14,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
